F3l2n1m2	V5w2l	d6r1t35n	f0_p6nt5 m2d35	F1	F2
B2rn1rd1153	2	0.06215752174515063	235.18610593391531	540.7140755978687	2287.1248658472787
B2rn1rd1155	 	0.20330745313638132	167.0869040164409	505.7121472412014	2272.300254294122
B2rn1rd1155	2	0.06406933035611306	224.85173995498053	500.8420028135741	2191.4040238003195
B2rn1rd1157	2	0.0740743556889816	220.71837641120902	505.15384772854725	2180.135568183584
B2rn1rd1159	2	0.05190638895739972	232.2147992894634	575.3639424687272	2275.020162865052
B2rn1rd1161	2	0.05743191507874776	208.82665465906294	596.8026558982466	2244.6295153756723
B2rn1rd1163	2	0.06451251424966868	208.49361569866355	572.9058746249331	2186.989975091005
B2rn1rd1165	2	0.058054493725361186	220.29192416184182	487.7628477264889	2201.620974217483
B2rn1rd1167	2	0.056831995519024084	102.92296232754114	554.3814363731465	2179.6916801477464
B2rn1rd1169	2	0.08015984739830268	206.6762646895873	504.5560362444133	2156.7258276349303
B2rn1rd117	1	0.08330418438772594	192.6322109654223	792.4793103586336	1667.9043962797589
B2rn1rd1171	2	0.05304787938057813	212.22766621444453	563.138594363526	2269.204200837629
B2rn1rd1173	2	0.03249616351353171	214.82422765083803	489.589927627379	2069.1331568809965
B2rn1rd1175	2	0.03442073389183639	217.25208891329277	502.7128337730186	2197.9286905073645
B2rn1rd1177	2	0.04111121664783127	207.59407563905125	520.536399978342	2137.80438230752
B2rn1rd1179	2	0.03148450913638384	213.016373133889	467.3818793851203	2037.4269177702233
B2rn1rd1181	2	0.06207241405704336	126.9013445704308	492.7995587365231	2167.7568752306183
B2rn1rd1183	2	0.12462344156815312	221.2486434777882	496.87243923884904	2410.778098734139
B2rn1rd1185	2	0.11143627840823069	206.64392691744987	525.5184057970795	2442.753419364523
B2rn1rd1187	2	0.11204157608060408	205.7574360412599	471.6676481237077	2208.0017465788637
B2rn1rd1189	2	0.027028692808666627	201.9716464928294	541.3618900778566	2248.5699960866855
B2rn1rd119	1	0.07267660600765269	191.08552709955325	783.2098904144509	1703.4432151391604
B2rn1rd1191	2	0.03205963566352425	193.19813718682036	545.7951919027414	2097.480700801368
B2rn1rd1193	2	0.04220893437284999	184.54113604289466	570.6672271110296	2184.1086646474328
B2rn1rd1195	2	0.02995638221599725	94.54506554946507	540.2013632636094	2180.9069188797935
