time,sigmal , sigmap ,sigmai, rse
98.724273,0.0001,0.5,10,0.997712
99.762317,0.0001,0.5,100,0.99771
96.455715,0.0001,0.5,1000,0.970823
94.850306,0.0001,0.5,10000,0.969203
98.432902,0.0001,0.5,100000,0.967874
98.414131,0.0001,10,0.00001,0.997712
100.334075,0.0001,10,0.0001,0.997712
99.916321,0.0001,10,0.001,0.997712
96.341547,0.0001,10,0.01,0.997712
96.971122,0.0001,10,0.1,0.997712
100.730214,0.0001,10,0.5,0.997712
98.089752,0.0001,10,10,0.997712
98.388537,0.0001,10,100,0.99771
102.637787,0.0001,10,1000,0.882162
96.798114,0.0001,10,10000,0.870763
100.227192,0.0001,10,100000,0.831494
96.648629,0.0001,100,0.00001,0.997712
96.067021,0.0001,100,0.0001,0.997712
100.529452,0.0001,100,0.001,0.997712
98.70883,0.0001,100,0.01,0.997712
99.112416,0.0001,100,0.1,0.997712
101.145725,0.0001,100,0.5,0.997712
99.138789,0.0001,100,10,0.997712
98.337134,0.0001,100,100,0.997704
127.030681,0.0001,100,1000,0.799294
107.274472,0.0001,100,10000,0.682764
101.505877,0.0001,100,100000,0.743698
99.101451,0.0001,1000,0.00001,0.997712
98.595668,0.0001,1000,0.0001,0.997712
96.853132,0.0001,1000,0.001,0.997712
96.205276,0.0001,1000,0.01,0.997712
99.093968,0.0001,1000,0.1,0.997712
97.92704,0.0001,1000,0.5,0.997712
97.662922,0.0001,1000,10,0.997712
96.108969,0.0001,1000,100,0.997703
116.85626,0.0001,1000,1000,0.777464
96.836443,0.0001,1000,10000,0.721444
100.051059,0.0001,1000,100000,0.690505
100.475472,0.0001,10000,0.00001,0.997712
97.752739,0.0001,10000,0.0001,0.997712
98.41114,0.0001,10000,0.001,0.997712
99.462094,0.0001,10000,0.01,0.997712
97.503978,0.0001,10000,0.1,0.997712
96.876824,0.0001,10000,0.5,0.997712
97.638251,0.0001,10000,10,0.997712
101.893144,0.0001,10000,100,0.997692
121.402167,0.0001,10000,1000,0.794647
97.28861,0.0001,10000,10000,0.722926
99.454052,0.0001,10000,100000,0.64767
95.994715,0.0001,100000,0.00001,0.997712
97.356254,0.0001,100000,0.0001,0.997712
97.295088,0.0001,100000,0.001,0.997712
97.837908,0.0001,100000,0.01,0.997712
98.030129,0.0001,100000,0.1,0.997712
101.665312,0.0001,100000,0.5,0.997712
98.109491,0.0001,100000,10,0.997712
98.36602,0.0001,100000,100,0.997705
121.812432,0.0001,100000,1000,0.713127
97.887711,0.0001,100000,10000,0.642141
99.66582,0.0001,100000,100000,0.670843
95.680182,0.001,0.00001,0.00001,0.997712
96.308088,0.001,0.00001,0.0001,0.997712
96.936868,0.001,0.00001,0.001,0.997712
95.716919,0.001,0.00001,0.01,0.997712
96.503502,0.001,0.00001,0.1,0.997712
99.054746,0.001,0.00001,0.5,0.997712
97.163426,0.001,0.00001,10,0.997712
96.891057,0.001,0.00001,100,0.99771
96.562186,0.001,0.00001,1000,0.972253
96.332786,0.001,0.00001,10000,0.966272
98.343267,0.001,0.00001,100000,0.969887
96.261037,0.001,0.0001,0.00001,0.997712
98.547244,0.001,0.0001,0.0001,0.997712
100.017751,0.001,0.0001,0.001,0.997712
95.95458,0.001,0.0001,0.01,0.997712
96.598406,0.001,0.0001,0.1,0.997712
96.34943,0.001,0.0001,0.5,0.997712
99.003934,0.001,0.0001,10,0.997712
96.014963,0.001,0.0001,100,0.997709
99.565984,0.001,0.0001,1000,0.974166
94.552007,0.001,0.0001,10000,0.967803
98.194464,0.001,0.0001,100000,0.963071
97.047095,0.001,0.001,0.00001,0.997712
95.998547,0.001,0.001,0.0001,0.997712
101.652975,0.001,0.001,0.001,0.997712
98.658511,0.001,0.001,0.01,0.997712
99.350564,0.001,0.001,0.1,0.997712
87.57937,0.001,0.001,0.5,0.997712
87.649002,0.001,0.001,10,0.997712
87.747363,0.001,0.001,100,0.99771
87.623285,0.001,0.001,1000,0.975246
87.614857,0.001,0.001,10000,0.965201
87.632502,0.001,0.001,100000,0.966786
87.625428,0.001,0.01,0.00001,0.997712
87.609319,0.001,0.01,0.0001,0.997712
87.575697,0.001,0.01,0.001,0.997712
87.661859,0.001,0.01,0.01,0.997712
87.625901,0.001,0.01,0.1,0.997712
87.645926,0.001,0.01,0.5,0.997712
87.753633,0.001,0.01,10,0.997712
87.686897,0.001,0.01,100,0.997703
87.636851,0.001,0.01,1000,0.971625
87.730584,0.001,0.01,10000,0.964248
88.075504,0.001,0.01,100000,0.965839
87.777915,0.001,0.1,0.00001,0.997712
87.674625,0.001,0.1,0.0001,0.997712
87.816923,0.001,0.1,0.001,0.997712
87.588402,0.001,0.1,0.01,0.997712
87.789215,0.001,0.1,0.1,0.997712
87.577665,0.001,0.1,0.5,0.997712
87.613146,0.001,0.1,10,0.997712
87.976404,0.001,0.1,100,0.997707
87.891481,0.001,0.1,1000,0.970128
88.017307,0.001,0.1,10000,0.962908
87.861226,0.001,0.1,100000,0.96515
87.676939,0.001,0.5,0.00001,0.997712
87.556498,0.001,0.5,0.0001,0.997712
87.563087,0.001,0.5,0.001,0.997712
87.593565,0.001,0.5,0.01,0.997712
87.562469,0.001,0.5,0.1,0.997712
87.571045,0.001,0.5,0.5,0.997712
87.724342,0.001,0.5,10,0.997712
91.877458,0.001,0.5,100,0.997706
92.201746,0.001,0.5,1000,0.969904
87.614548,0.001,0.5,10000,0.967485
76.508826,0.001,0.5,100000,0.966882
66.402668,0.001,10,0.00001,0.997712
67.720892,0.001,10,0.0001,0.997712
66.832428,0.001,10,0.001,0.997712
67.528255,0.001,10,0.01,0.997712
66.413948,0.001,10,0.1,0.997712
66.811924,0.001,10,0.5,0.997712
66.603246,0.001,10,10,0.997712
66.510232,0.001,10,100,0.997707
73.968671,0.001,10,1000,0.890926
67.510852,0.001,10,10000,0.871314
67.011479,0.001,10,100000,0.876744
67.632328,0.001,100,0.00001,0.997712
68.55243,0.001,100,0.0001,0.997712
69.134451,0.001,100,0.001,0.997712
68.232298,0.001,100,0.01,0.997712
67.779721,0.001,100,0.1,0.997712
69.141159,0.001,100,0.5,0.997712
69.041596,0.001,100,10,0.997712
68.081375,0.001,100,100,0.997709
87.321355,0.001,100,1000,0.749356
83.567398,0.001,100,10000,0.683864
76.10765,0.001,100,100000,0.759175
69.34407,0.001,1000,0.00001,0.997712
68.915075,0.001,1000,0.0001,0.997712
69.440159,0.001,1000,0.001,0.997712
69.131624,0.001,1000,0.01,0.997712
67.333024,0.001,1000,0.1,0.997712
68.17229,0.001,1000,0.5,0.997712
68.215394,0.001,1000,10,0.997712
68.512499,0.001,1000,100,0.997692
81.563632,0.001,1000,1000,0.784409
71.89069,0.001,1000,10000,0.69717
69.260857,0.001,1000,100000,0.77732
69.506053,0.001,10000,0.00001,0.997712
68.319316,0.001,10000,0.0001,0.997712
69.272572,0.001,10000,0.001,0.997712
67.623155,0.001,10000,0.01,0.997712
68.248133,0.001,10000,0.1,0.997712
69.131118,0.001,10000,0.5,0.997712
68.395547,0.001,10000,10,0.997712
68.767637,0.001,10000,100,0.997683
89.395878,0.001,10000,1000,0.748259
68.845295,0.001,10000,10000,0.721836
68.526571,0.001,10000,100000,0.699434
68.611418,0.001,100000,0.00001,0.997712
69.876153,0.001,100000,0.0001,0.997712
68.985543,0.001,100000,0.001,0.997712
68.47502,0.001,100000,0.01,0.997712
70.140551,0.001,100000,0.1,0.997712
67.768884,0.001,100000,0.5,0.997712
67.322194,0.001,100000,10,0.997712
68.770077,0.001,100000,100,0.997679
85.649582,0.001,100000,1000,0.752097
67.980508,0.001,100000,10000,0.642207
68.261514,0.001,100000,100000,0.66531
67.968002,0.01,0.00001,0.00001,0.997712
67.506611,0.01,0.00001,0.0001,0.997712
70.457599,0.01,0.00001,0.001,0.997712
68.535425,0.01,0.00001,0.01,0.997712
69.96833,0.01,0.00001,0.1,0.997712
69.001502,0.01,0.00001,0.5,0.997712
66.888479,0.01,0.00001,10,0.997712
68.37845,0.01,0.00001,100,0.997695
67.966029,0.01,0.00001,1000,0.971135
67.84961,0.01,0.00001,10000,0.967309
