Testing methods
TotalAmount ; 0.000000 ; 1.000000
TotalAmount ; 33.300000 ; 34.300000
TotalAmount ; 66.600000 ; 67.600000
TotalAmount ; 99.900000 ; 100.900000
TotalAmount ; 133.200000 ; 134.200000
TotalAmount ; 0.000000 ; 1.000000
TotalAmount ; 33.300000 ; 34.300000
TotalAmount ; 66.600000 ; 67.600000
TotalAmount ; 99.900000 ; 100.900000
TotalAmount ; 133.200000 ; 134.200000
Linear ; 0.960000 ; 367.796293 ; 12354.758193 ; 25584.976145
Linear ; 0.960000 ; 281.101978 ; 15393.460531 ; 31877.703661
Linear ; 0.960000 ; 335.744296 ; 12846.131264 ; 26602.541047
Linear ; 0.980000 ; 365.709184 ; 14816.534637 ; 26472.748041
Linear ; 0.980000 ; 295.141706 ; 18010.072834 ; 32178.652567
Linear ; 0.980000 ; 342.672282 ; 15155.470887 ; 27078.326481
Linear ; 0.400000 ; 349.563605 ; 8091.513279 ; 11498.011723
Linear ; 0.400000 ; 256.386090 ; 14454.365503 ; 20539.602209
Linear ; 0.400000 ; 316.178231 ; 8103.348875 ; 11514.830064
Linear ; 0.500000 ; 350.535057 ; 5996.114556 ; 12854.855986
Linear ; 0.500000 ; 295.993530 ; 10730.689642 ; 23005.142529
Linear ; 0.500000 ; 307.065934 ; 6556.720006 ; 14056.718002
Linear ; 0.600000 ; 348.429282 ; 8160.352216 ; 14884.364230
Linear ; 0.600000 ; 273.692351 ; 13878.024813 ; 25313.316219
Linear ; 0.600000 ; 326.227148 ; 8660.261338 ; 15796.191226
Linear ; 0.700000 ; 356.004135 ; 8326.315643 ; 16851.594776
Linear ; 0.700000 ; 305.121915 ; 13445.073796 ; 27211.427604
Linear ; 0.700000 ; 313.188593 ; 9361.308455 ; 18946.312321
Linear ; 0.800000 ; 419.362001 ; inf ; 19530.106700
Linear ; 0.800000 ; 276.919002 ; inf ; 29117.562207
Linear ; 0.800000 ; 313.806623 ; inf ; 20792.803415
Linear ; 0.900000 ; 371.806763 ; 12116.296456 ; 22915.255020
Linear ; 0.900000 ; 299.995623 ; 16300.729590 ; 30829.171019
Linear ; 0.900000 ; 313.302042 ; 12676.112265 ; 23974.020962
Linear ; 0.920000 ; 336.689871 ; 23433.773471 ; 23658.025408
Linear ; 0.920000 ; 267.844134 ; 30903.238071 ; 31198.969828
Linear ; 0.920000 ; 329.737221 ; 24931.588662 ; 25170.174098
Linear ; 0.940000 ; 368.989735 ; 33164.179487 ; 24766.610970
Linear ; 0.940000 ; 282.636793 ; 42275.831024 ; 31571.082915
Linear ; 0.940000 ; 356.357374 ; 34540.669044 ; 25794.556841
Linear ; 0.960000 ; 375.784908 ; 16396.454817 ; 25523.107297
Linear ; 0.960000 ; 284.602506 ; 20482.734133 ; 31883.905811
Linear ; 0.960000 ; 326.978584 ; 16960.086363 ; 26400.469420
Linear ; 0.980000 ; 364.817962 ; 16628.603136 ; 26292.130642
Linear ; 0.980000 ; 291.577921 ; 20327.602008 ; 32140.761510
