sigmal ; sigmap ; rse
127.884669 ; 0.001000 ; 1000.000000 ; 0.670503 
134.587333 ; 0.001000 ; 10000.000000 ; 0.669963 
133.565201 ; 0.001000 ; 100000.000000 ; 0.582609 
110.349235 ; 0.010000 ; 0.000010 ; 0.966450 
117.660109 ; 0.010000 ; 0.000100 ; 0.967190 
115.190427 ; 0.010000 ; 0.001000 ; 0.965536 
108.890137 ; 0.010000 ; 0.010000 ; 0.963144 
112.855957 ; 0.010000 ; 0.100000 ; 0.965350 
113.086249 ; 0.010000 ; 0.500000 ; 0.954755 
122.618298 ; 0.010000 ; 10.000000 ; 0.844745 
133.750490 ; 0.010000 ; 100.000000 ; 0.680703 
133.120852 ; 0.010000 ; 1000.000000 ; 0.667971 
133.538846 ; 0.010000 ; 10000.000000 ; 0.665505 
133.881152 ; 0.010000 ; 100000.000000 ; 0.781625 
114.600757 ; 0.100000 ; 0.000010 ; 0.961235 
112.666378 ; 0.100000 ; 0.000100 ; 0.963064 
108.984091 ; 0.100000 ; 0.001000 ; 0.949459 
113.621001 ; 0.100000 ; 0.010000 ; 0.957704 
118.425824 ; 0.100000 ; 0.100000 ; 0.974735 
118.392565 ; 0.100000 ; 0.500000 ; 0.971908 
152.650886 ; 0.100000 ; 10.000000 ; 0.886939 
134.935635 ; 0.100000 ; 100.000000 ; 0.741095 
135.229131 ; 0.100000 ; 1000.000000 ; 0.675674 
135.816027 ; 0.100000 ; 10000.000000 ; 0.650620 
136.575193 ; 0.100000 ; 100000.000000 ; 0.595481 
120.876325 ; 0.500000 ; 0.000010 ; 0.903887 
133.831725 ; 0.500000 ; 0.000100 ; 0.904151 
133.940442 ; 0.500000 ; 0.001000 ; 0.903412 
129.088306 ; 0.500000 ; 0.010000 ; 0.891938 
146.623396 ; 0.500000 ; 0.100000 ; 0.909966 
136.210840 ; 0.500000 ; 0.500000 ; 0.908909 
138.226042 ; 0.500000 ; 10.000000 ; 0.678744 
136.535489 ; 0.500000 ; 100.000000 ; 0.523257 
136.210981 ; 0.500000 ; 1000.000000 ; 0.486399 
154.368480 ; 0.500000 ; 10000.000000 ; 0.515610 
220.324881 ; 0.500000 ; 100000.000000 ; 0.501491 
217.523752 ; 10.000000 ; 0.000010 ; 0.524829 
192.140841 ; 10.000000 ; 0.000100 ; 0.492924 
193.511286 ; 10.000000 ; 0.001000 ; 0.563093 
234.586591 ; 10.000000 ; 0.010000 ; 0.481958 
199.685370 ; 10.000000 ; 0.100000 ; 0.481947 
231.019687 ; 10.000000 ; 0.500000 ; 0.522266 
113.732653 ; 10.000000 ; 10.000000 ; 0.441629 
113.872730 ; 10.000000 ; 100.000000 ; 0.409466 
113.731027 ; 10.000000 ; 1000.000000 ; 0.384617 
114.400109 ; 10.000000 ; 10000.000000 ; 0.368325 
114.180255 ; 10.000000 ; 100000.000000 ; 0.370171 
113.849940 ; 100.000000 ; 0.000010 ; 0.463008 
113.349353 ; 100.000000 ; 0.000100 ; 0.471091 
114.035015 ; 100.000000 ; 0.001000 ; 0.462347 
113.804359 ; 100.000000 ; 0.010000 ; 0.523347 
113.379828 ; 100.000000 ; 0.100000 ; 0.459657 
112.898973 ; 100.000000 ; 0.500000 ; 0.456514 
113.626643 ; 100.000000 ; 10.000000 ; 0.428592 
113.489453 ; 100.000000 ; 100.000000 ; 0.397499 
113.587993 ; 100.000000 ; 1000.000000 ; 0.360116 
114.748539 ; 100.000000 ; 10000.000000 ; 0.344048 
120.345337 ; 100.000000 ; 100000.000000 ; 0.329312 
120.366091 ; 1000.000000 ; 0.000010 ; 0.463572 
124.687997 ; 1000.000000 ; 0.000100 ; 0.529328 
121.148700 ; 1000.000000 ; 0.001000 ; 0.464369 
122.394595 ; 1000.000000 ; 0.010000 ; 0.463318 
120.766598 ; 1000.000000 ; 0.100000 ; 0.462656 
123.972215 ; 1000.000000 ; 0.500000 ; 0.482711 
121.726144 ; 1000.000000 ; 10.000000 ; 0.417028 
117.849106 ; 1000.000000 ; 100.000000 ; 0.378178 
123.120673 ; 1000.000000 ; 1000.000000 ; 0.333519 
123.978524 ; 1000.000000 ; 10000.000000 ; 0.350397 
122.128913 ; 1000.000000 ; 100000.000000 ; 0.332673 
120.509077 ; 10000.000000 ; 0.000010 ; 0.500218 
123.284884 ; 10000.000000 ; 0.000100 ; 0.473676 
121.780303 ; 10000.000000 ; 0.001000 ; 0.501681 
122.307306 ; 10000.000000 ; 0.010000 ; 0.465199 
115.787521 ; 10000.000000 ; 0.100000 ; 0.499447 
114.344041 ; 10000.000000 ; 0.500000 ; 0.545946 
114.144831 ; 10000.000000 ; 10.000000 ; 0.417717 
114.379480 ; 10000.000000 ; 100.000000 ; 0.384726 
114.717441 ; 10000.000000 ; 1000.000000 ; 0.322393 
113.521351 ; 10000.000000 ; 10000.000000 ; 0.341103 
113.623344 ; 10000.000000 ; 100000.000000 ; 0.338716 
113.532738 ; 100000.000000 ; 0.000010 ; 0.464241 
113.376330 ; 100000.000000 ; 0.000100 ; 0.456210 
114.558912 ; 100000.000000 ; 0.001000 ; 0.527405 
112.889601 ; 100000.000000 ; 0.010000 ; 0.465340 
114.290576 ; 100000.000000 ; 0.100000 ; 0.460423 
113.191070 ; 100000.000000 ; 0.500000 ; 0.516394 
114.146436 ; 100000.000000 ; 10.000000 ; 0.401038 
113.015027 ; 100000.000000 ; 100.000000 ; 0.399498 
112.928893 ; 100000.000000 ; 1000.000000 ; 0.329271 
113.062349 ; 100000.000000 ; 10000.000000 ; 0.340800 
113.583730 ; 100000.000000 ; 100000.000000 ; 0.363363 
