kernel ; missing rate ; time ; rse completion ; rse whole; rse whole_inc
rbf ; 0.400000 ; 270.498890 ; 10611.597975 ; 0.377831; 0.377831
linxrbf ; 0.400000 ; 304.460619 ; 6311.538807 ; 12222.242482; 0.605642
// Iteration 3; Missing rate = 0.500000; RSE (X, X_ic) = 19798.255600
Linear ; 0.500000 ; 408.211513 ; 12453.351039 ; 12923.453619; 0.679039
rbf ; 0.500000 ; 284.003170 ; 22030.623263 ; 0.443483; 0.443483
linxrbf ; 0.500000 ; 302.038435 ; 13191.573507 ; 13689.543308; 0.674673
// Iteration 3; Missing rate = 0.600000; RSE (X, X_ic) = 21774.866673
Linear ; 0.600000 ; 336.804252 ; 14889.319220 ; 14745.457910; 0.759003
rbf ; 0.600000 ; 274.057091 ; 25383.528561 ; 0.520494; 0.520494
linxrbf ; 0.600000 ; 330.111307 ; 16829.409399 ; 16666.802846; 0.761839
// Iteration 3; Missing rate = 0.700000; RSE (X, X_ic) = 23508.495269
Linear ; 0.700000 ; 330.882759 ; 9500.294522 ; 16296.004015; 0.827877
rbf ; 0.700000 ; 268.727832 ; 15829.667418 ; 0.605297; 0.605297
linxrbf ; 0.700000 ; 319.814129 ; 10252.002985 ; 17585.421317; 0.843122
// Iteration 3; Missing rate = 0.800000; RSE (X, X_ic) = 25249.221713
Linear ; 0.800000 ; 354.581484 ; 10499.289997 ; 19642.373677; 0.891128
rbf ; 0.800000 ; 260.980552 ; 15581.746919 ; 0.711683; 0.711683
linxrbf ; 0.800000 ; 317.296534 ; 11280.733491 ; 21104.320638; 0.911876
// Iteration 3; Missing rate = 0.900000; RSE (X, X_ic) = 26684.640722
Linear ; 0.900000 ; 355.463261 ; 32648.464320 ; 22637.637161; 0.943357
rbf ; 0.900000 ; 268.827737 ; 44424.001135 ; 0.828945; 0.828945
linxrbf ; 0.900000 ; 337.622115 ; 35620.995709 ; 24698.716861; 1.032036
// Iteration 3; Missing rate = 0.920000; RSE (X, X_ic) = 27034.623278
Linear ; 0.920000 ; 345.379634 ; 31029.646019 ; 23568.709150; 0.965729
rbf ; 0.920000 ; 280.288371 ; 41095.023519 ; 0.864538; 0.864538
linxrbf ; 0.920000 ; 307.118913 ; 33406.920725 ; 25374.378995; 1.042989
// Iteration 3; Missing rate = 0.940000; RSE (X, X_ic) = 27311.384218
Linear ; 0.940000 ; 350.756851 ; 16301.520342 ; 24452.281590; 0.975052
rbf ; 0.940000 ; 269.837439 ; 21024.088374 ; 0.894586; 0.894586
linxrbf ; 0.940000 ; 317.321797 ; 17270.118414 ; 25905.178763; 1.063889
// Iteration 3; Missing rate = 0.960000; RSE (X, X_ic) = 27589.756245
Linear ; 0.960000 ; 384.789042 ; 14014.723502 ; 25488.664422; 1.013391
rbf ; 0.960000 ; 284.265116 ; 17522.581913 ; 0.928051; 0.928051
linxrbf ; 0.960000 ; 316.153233 ; 14815.933140 ; 26945.829353; 1.100964
// Iteration 3; Missing rate = 0.980000; RSE (X, X_ic) = 27878.034250
Linear ; 0.980000 ; 351.262852 ; 12193.386515 ; 26467.061584; 1.033532
rbf ; 0.980000 ; 273.831398 ; 14829.687101 ; 0.962778; 0.962778
linxrbf ; 0.980000 ; 313.477986 ; 12643.553171 ; 27444.196902; 1.120062
// Iteration 4; Missing rate = 0.100000; RSE (X, X_ic) = 8823.020005
Linear ; 0.100000 ; 310.659103 ; 4431.733573 ; 5894.756955; 0.293445
rbf ; 0.100000 ; 272.974830 ; 7654.390087 ; 0.162401; 0.162401
linxrbf ; 0.100000 ; 350.905712 ; 4685.472706 ; 6232.261568; 0.293234
// Iteration 4; Missing rate = 0.400000; RSE (X, X_ic) = 17706.182423
Linear ; 0.400000 ; 340.702521 ; 8317.735850 ; 11649.399045; 0.607237
rbf ; 0.400000 ; 281.494232 ; 14598.458431 ; 0.375056; 0.375056
linxrbf ; 0.400000 ; 306.926433 ; 8749.887384 ; 12254.648568; 0.600867
// Iteration 4; Missing rate = 0.500000; RSE (X, X_ic) = 19930.566364
Linear ; 0.500000 ; 321.324842 ; 5773.510240 ; 12684.551935; 0.684862
